year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2169.00,661.00,145.62,39.04,187.43,0.30,288.62,80.00,24.00,74510.00,17920.00,8465.00,13714.00,9.00,34402.00
2025,5,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2400.00,648.00,123.25,37.68,246.35,0.02,240.71,40.00,26.00,52306.00,15010.00,4892.00,11164.00,5.00,21235.00
2025,4,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2516.00,616.00,151.02,15.64,212.87,0.57,235.90,16.00,5.00,44530.00,14454.00,1295.00,8976.00,34.00,19771.00
2025,3,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2193.00,603.00,120.24,12.58,262.24,1.00,206.94,37.00,9.00,50754.00,13567.00,1851.00,12520.00,49.00,22767.00
2025,2,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1888.00,533.00,106.26,12.98,261.45,0.00,152.30,48.00,15.00,46593.00,16072.00,1350.00,12651.00,0.00,16520.00
2025,1,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1952.00,319.00,106.90,12.84,79.31,1.37,118.58,130.00,11.00,24558.00,8137.00,2588.00,2663.00,69.00,11101.00
2024,12,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1991.00,397.00,111.65,12.09,101.80,0.87,170.59,10.00,10.00,31238.00,10518.00,2302.00,3863.00,26.00,14529.00
2024,11,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2090.00,340.00,101.72,2.98,116.48,2.27,116.54,5.00,6.00,20419.00,7756.00,170.00,4206.00,187.00,8100.00
2024,10,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2439.00,364.00,114.84,4.33,87.30,0.31,157.22,38.00,4.00,25515.00,10955.00,166.00,2558.00,10.00,11826.00
2024,9,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2288.00,399.00,109.63,19.77,115.51,2.97,151.14,13.00,5.00,26662.00,8586.00,1349.00,3532.00,122.00,13073.00
2024,8,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2389.00,774.00,192.91,47.55,182.07,1.55,349.93,112.00,15.00,78180.00,22175.00,6698.00,10216.00,76.00,39015.00
2024,7,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2512.00,772.00,184.53,31.22,183.44,1.06,371.76,57.00,27.00,74289.00,21825.00,3199.00,10460.00,35.00,38770.00
2024,6,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2455.00,677.00,169.35,38.21,142.27,0.85,326.32,49.00,19.00,74861.00,26220.00,5180.00,6758.00,40.00,36663.00
2024,5,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2349.00,795.00,210.44,32.54,194.46,1.68,355.88,32.00,8.00,63834.00,18284.00,3621.00,8955.00,102.00,32872.00
2024,4,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2369.00,560.00,155.02,18.73,119.57,3.57,263.10,26.00,3.00,51015.00,16596.00,2786.00,4638.00,128.00,26867.00
2024,3,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2512.00,647.00,173.58,16.90,157.46,1.21,297.84,25.00,2.00,59481.00,19329.00,1515.00,5380.00,55.00,33202.00
2024,2,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1980.00,438.00,131.26,5.12,139.59,3.38,158.66,3.00,3.00,29724.00,10485.00,695.00,4342.00,154.00,14048.00
2024,1,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2098.00,540.00,135.99,25.55,118.77,6.95,252.74,67.00,25.00,47731.00,14150.00,3480.00,5460.00,1271.00,23370.00
2023,12,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2084.00,376.00,92.51,5.54,110.53,0.01,167.41,3.00,9.00,29456.00,9846.00,397.00,3703.00,9.00,15501.00
2023,11,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2165.00,351.00,113.03,7.36,101.06,1.72,127.82,0.00,4.00,25703.00,8989.00,3553.00,3186.00,53.00,9922.00
2023,10,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2453.00,392.00,108.57,4.11,111.96,4.70,162.65,3.00,4.00,27999.00,11208.00,199.00,3809.00,221.00,12562.00
2023,9,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2423.00,534.00,169.03,26.51,133.46,2.74,202.26,54.00,11.00,44796.00,16161.00,2006.00,5201.00,149.00,21279.00
2023,8,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2526.00,607.00,171.68,26.15,146.10,2.10,260.96,58.00,21.00,60619.00,22785.00,2001.00,6618.00,80.00,29135.00
2023,7,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2422.00,716.00,169.15,46.54,195.98,0.36,303.97,81.00,25.00,75995.00,23752.00,4464.00,10570.00,11.00,37198.00
2023,6,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2381.00,625.00,163.08,38.96,146.29,2.36,274.32,39.00,33.00,74592.00,24391.00,7493.00,8708.00,47.00,33953.00
2023,5,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2487.00,469.00,165.24,17.19,106.89,1.32,178.37,9.00,5.00,44147.00,16304.00,1172.00,6158.00,108.00,20405.00
2023,4,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2378.00,590.00,152.69,19.01,145.01,0.65,272.64,56.00,6.00,50760.00,14840.00,3114.00,5989.00,42.00,26775.00
2023,3,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2464.00,639.00,164.35,9.09,167.26,0.91,297.38,23.00,3.00,48953.00,16434.00,764.00,5632.00,77.00,26046.00
2023,2,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2270.00,442.00,130.52,9.45,113.91,2.81,185.32,27.00,3.00,29642.00,10076.00,828.00,3490.00,185.00,15063.00
2023,1,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2351.00,498.00,121.48,12.25,149.97,2.04,212.26,32.00,2.00,32655.00,7797.00,974.00,7161.00,107.00,16616.00
2022,12,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2634.00,659.00,174.20,13.95,140.69,2.54,327.62,47.00,7.00,58313.00,15111.00,1884.00,5030.00,110.00,36178.00
2022,11,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2642.00,630.00,153.77,11.51,182.28,0.41,282.03,40.00,13.00,50216.00,13723.00,1148.00,8417.00,31.00,26897.00
2022,10,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2748.00,560.00,151.79,9.48,173.04,0.11,225.58,21.00,7.00,44326.00,16018.00,704.00,6683.00,15.00,20906.00
2022,9,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2513.00,537.00,152.18,27.36,190.00,3.09,164.37,64.00,5.00,36073.00,11108.00,2167.00,7308.00,89.00,15401.00
2022,8,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2655.00,630.00,158.00,40.57,175.25,0.13,256.04,194.00,9.00,50192.00,14678.00,6183.00,9011.00,9.00,20311.00
2022,7,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2398.00,730.00,194.02,32.78,204.54,1.97,296.68,131.00,12.00,52555.00,15174.00,3034.00,9222.00,45.00,25080.00
2022,6,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2318.00,624.00,185.52,35.14,160.97,1.63,240.74,228.00,10.00,45578.00,13406.00,3958.00,8262.00,99.00,19853.00
2022,5,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2212.00,539.00,147.46,14.17,203.14,1.54,172.69,68.00,17.00,33942.00,8711.00,1320.00,8811.00,61.00,15039.00
2022,4,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2158.00,420.00,113.01,15.28,108.66,0.26,182.78,40.00,4.00,31085.00,9201.00,1620.00,4429.00,9.00,15826.00
2022,3,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2139.00,455.00,126.04,12.58,161.95,1.23,153.20,57.00,7.00,29417.00,8670.00,1271.00,6655.00,41.00,12780.00
2022,2,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1974.00,426.00,145.68,9.73,103.02,2.00,165.56,132.00,8.00,30417.00,11260.00,794.00,4393.00,77.00,13893.00
2022,1,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2180.00,357.00,113.07,9.72,104.56,0.33,129.32,202.00,12.00,22097.00,9550.00,718.00,4226.00,22.00,7581.00
2021,12,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2080.00,289.00,91.71,1.54,63.06,1.27,131.42,21.00,6.00,18509.00,5778.00,128.00,2362.00,65.00,10176.00
2021,11,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1998.00,321.00,118.00,3.19,55.22,0.00,144.58,51.00,1.00,18408.00,7104.00,93.00,1643.00,0.00,9568.00
2021,10,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1798.00,253.00,103.64,5.82,47.37,3.10,93.07,83.00,8.00,18606.00,6686.00,1160.00,2859.00,112.00,7789.00
2021,9,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1579.00,181.00,63.69,11.38,35.36,0.03,70.54,18.00,8.00,13361.00,5546.00,968.00,1505.00,2.00,5340.00
2021,8,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1704.00,350.00,117.59,25.83,75.81,1.85,128.92,79.00,14.00,26319.00,8030.00,2288.00,3912.00,94.00,11995.00
2021,7,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1666.00,381.00,113.57,33.77,89.19,2.27,142.21,38.00,10.00,31601.00,7657.00,3343.00,6636.00,108.00,13857.00
2021,6,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1620.00,347.00,112.21,34.20,86.75,1.07,112.77,61.00,9.00,30486.00,10664.00,3635.00,5283.00,64.00,10840.00
2021,5,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1381.00,115.00,51.88,4.43,13.71,0.40,44.58,5.00,4.00,10079.00,4284.00,603.00,758.00,10.00,4424.00
2021,4,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1293.00,82.00,37.20,1.38,16.60,2.51,24.31,7.00,0.00,5550.00,1942.00,111.00,697.00,83.00,2717.00
2021,3,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1004.00,50.00,24.03,0.10,12.21,1.00,12.65,2.00,0.00,2884.00,1248.00,3.00,415.00,17.00,1201.00
2021,2,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",704.00,56.00,24.27,6.39,17.58,0.19,7.58,56.00,1.00,4600.00,3071.00,542.00,603.00,4.00,380.00
2021,1,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",711.00,47.00,17.46,1.17,13.43,0.90,14.04,7.00,0.00,2776.00,993.00,88.00,545.00,52.00,1098.00
2020,12,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",788.00,54.00,23.92,1.39,16.93,0.00,11.76,4.00,0.00,2442.00,1106.00,110.00,537.00,0.00,689.00
2020,11,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",894.00,52.00,26.02,0.00,15.25,0.00,10.73,0.00,2.00,2548.00,1020.00,0.00,553.00,0.00,975.00
2020,10,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",883.00,54.00,25.19,2.46,13.88,0.33,12.13,0.00,0.00,3099.00,1987.00,216.00,364.00,5.00,527.00
2020,9,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",927.00,34.00,16.09,7.05,7.64,0.00,3.22,1.00,1.00,1548.00,793.00,398.00,242.00,0.00,115.00
2020,8,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1020.00,62.00,24.25,7.24,22.95,0.26,7.29,13.00,1.00,2706.00,1244.00,306.00,682.00,18.00,456.00
2020,7,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1270.00,99.00,36.41,13.97,33.35,0.81,14.46,44.00,8.00,5412.00,1951.00,1102.00,1254.00,34.00,1071.00
2020,6,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",765.00,34.00,15.11,5.09,7.17,0.00,6.63,0.00,3.00,3497.00,1275.00,896.00,335.00,0.00,991.00
2020,5,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",677.00,22.00,16.14,4.59,1.27,0.00,0.00,1.00,0.00,1225.00,906.00,287.00,32.00,0.00,0.00
2020,4,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",1145.00,22.00,16.40,1.00,2.15,0.00,2.45,457.00,0.00,1271.00,1043.00,27.00,92.00,0.00,109.00
2020,3,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2288.00,154.00,58.93,0.97,37.17,0.00,56.93,448.00,6.00,8370.00,3211.00,55.00,1042.00,0.00,4062.00
2020,2,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2117.00,322.00,93.07,6.14,98.88,0.71,123.19,31.00,7.00,19332.00,5588.00,250.00,4143.00,17.00,9334.00
2020,1,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2259.00,249.00,84.51,5.64,62.67,0.10,96.09,17.00,1.00,15332.00,5224.00,472.00,2009.00,10.00,7617.00
2019,12,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2210.00,404.00,115.83,9.24,133.01,1.05,144.87,19.00,6.00,24715.00,8221.00,488.00,4812.00,61.00,11133.00
2019,11,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2143.00,279.00,104.52,1.76,65.34,0.51,106.87,14.00,3.00,16955.00,6288.00,219.00,1999.00,23.00,8426.00
2019,10,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2392.00,332.00,90.57,7.64,88.30,0.00,145.49,34.00,9.00,18865.00,6162.00,472.00,3537.00,0.00,8694.00
2019,9,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2268.00,260.00,89.18,6.09,57.44,0.28,107.02,44.00,0.00,17757.00,6113.00,1048.00,2401.00,14.00,8181.00
2019,8,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2153.00,484.00,118.55,33.56,156.50,2.16,173.23,83.00,8.00,34229.00,8182.00,3395.00,8698.00,48.00,13906.00
2019,7,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2128.00,473.00,146.21,23.02,145.69,1.51,156.58,118.00,9.00,34649.00,12320.00,1698.00,7699.00,50.00,12882.00
2019,6,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2059.00,530.00,135.83,23.35,161.19,2.16,207.46,99.00,6.00,36369.00,8252.00,1495.00,8881.00,191.00,17550.00
2019,5,AA,American Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",2271.00,525.00,166.66,20.80,133.76,0.42,203.36,77.00,18.00,37748.00,10456.00,1880.00,7996.00,35.00,17381.00
