year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",782.00,284.00,88.85,8.86,127.49,0.00,58.79,19.00,14.00,24129.00,6601.00,852.00,10613.00,0.00,6063.00
2025,5,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",809.00,254.00,85.92,6.96,130.03,0.00,31.10,4.00,9.00,16742.00,5913.00,336.00,7369.00,0.00,3124.00
2025,4,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",774.00,192.00,72.05,3.61,84.33,0.00,32.00,6.00,0.00,10266.00,4588.00,182.00,3407.00,0.00,2089.00
2025,3,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",784.00,223.00,80.59,0.17,104.89,0.00,37.35,5.00,6.00,12048.00,4881.00,21.00,4416.00,0.00,2730.00
2025,2,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",692.00,292.00,47.32,4.11,213.63,0.00,26.94,5.00,8.00,19412.00,3610.00,295.00,13604.00,0.00,1903.00
2025,1,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",757.00,170.00,49.13,8.11,70.58,0.00,42.18,37.00,6.00,10086.00,3176.00,1158.00,3148.00,0.00,2604.00
2024,12,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",751.00,182.00,72.36,2.84,76.15,0.00,30.66,1.00,3.00,8558.00,3806.00,214.00,2914.00,0.00,1624.00
2024,11,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",754.00,97.00,46.06,1.48,34.90,0.00,14.56,0.00,3.00,3852.00,2254.00,42.00,1095.00,0.00,461.00
2024,10,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",785.00,91.00,43.45,0.00,29.92,0.00,17.62,4.00,0.00,3234.00,1752.00,0.00,646.00,0.00,836.00
2024,9,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",741.00,108.00,45.81,0.82,38.82,0.00,22.55,0.00,4.00,3760.00,1643.00,44.00,1127.00,0.00,946.00
2024,8,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",761.00,187.00,75.54,4.06,67.10,0.00,40.30,8.00,6.00,13820.00,5359.00,1378.00,4378.00,0.00,2705.00
2024,7,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",815.00,247.00,113.56,10.32,69.54,0.00,53.58,67.00,15.00,21410.00,12294.00,747.00,4041.00,0.00,4328.00
2024,6,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",774.00,187.00,84.06,3.53,44.42,0.00,54.99,1.00,9.00,12678.00,6262.00,268.00,2197.00,0.00,3951.00
2024,5,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",778.00,205.00,78.40,3.48,71.38,0.56,51.18,1.00,3.00,12140.00,5208.00,232.00,3072.00,44.00,3584.00
2024,4,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",751.00,156.00,74.46,0.00,48.70,1.54,31.30,1.00,0.00,9193.00,5076.00,0.00,1940.00,137.00,2040.00
2024,3,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",761.00,136.00,75.14,1.17,28.12,0.00,31.57,2.00,0.00,7038.00,3717.00,457.00,872.00,0.00,1992.00
2024,2,DL,Delta Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",689.00,95.00,41.12,0.00,43.32,1.00,9.56,0.00,1.00,4521.00,2537.00,0.00,1225.00,86.00,673.00
