year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1344.00,480.00,102.79,16.99,179.10,1.56,179.56,9.00,14.00,36364.00,6564.00,2028.00,13181.00,191.00,14400.00
2025,5,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1351.00,409.00,80.66,17.30,177.60,0.56,132.89,5.00,7.00,26813.00,5991.00,1344.00,9230.00,32.00,10216.00
2025,4,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1325.00,267.00,70.23,9.00,78.34,0.00,109.43,8.00,1.00,16171.00,4195.00,710.00,3494.00,0.00,7772.00
2025,3,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1366.00,335.00,76.34,12.79,139.70,0.50,105.67,11.00,14.00,20433.00,5173.00,936.00,6509.00,10.00,7805.00
2025,2,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1202.00,522.00,58.13,14.65,369.87,0.00,79.35,7.00,4.00,36929.00,4959.00,1527.00,24635.00,0.00,5808.00
2025,1,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1339.00,202.00,56.93,4.99,73.24,0.60,66.24,113.00,5.00,10883.00,2885.00,279.00,3873.00,19.00,3827.00
2024,12,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1351.00,300.00,72.90,5.98,83.77,0.50,136.86,3.00,3.00,17502.00,3917.00,553.00,3474.00,8.00,9550.00
2024,11,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1267.00,177.00,62.04,0.97,41.37,0.44,72.18,3.00,2.00,8553.00,3273.00,147.00,1511.00,14.00,3608.00
2024,10,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1335.00,197.00,66.64,1.69,51.42,1.00,76.25,15.00,1.00,8722.00,3177.00,391.00,1454.00,42.00,3658.00
2024,9,WN,Southwest Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1290.00,163.00,53.03,2.51,52.66,1.00,53.80,6.00,0.00,7268.00,2811.00,69.00,1564.00,85.00,2739.00
