year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",620.00,187.00,40.50,9.83,81.91,0.00,54.76,7.00,6.00,14954.00,2811.00,1007.00,5073.00,0.00,6063.00
2025,5,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",637.00,168.00,31.67,11.92,91.55,0.00,32.86,2.00,4.00,10128.00,1416.00,1416.00,4605.00,0.00,2691.00
2025,4,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",628.00,91.00,24.68,6.20,29.78,0.00,30.34,5.00,0.00,5856.00,1291.00,415.00,1136.00,0.00,3014.00
2025,3,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",574.00,148.00,41.24,6.28,61.81,0.00,38.66,1.00,5.00,8728.00,2212.00,612.00,2654.00,0.00,3250.00
2025,2,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",458.00,187.00,22.91,10.71,130.09,0.00,23.28,6.00,7.00,12638.00,1464.00,761.00,7953.00,0.00,2460.00
2025,1,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",470.00,68.00,18.80,3.14,29.44,0.00,16.62,28.00,4.00,3328.00,693.00,156.00,1042.00,0.00,1437.00
2024,12,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",474.00,94.00,33.75,2.98,35.77,0.00,21.50,0.00,0.00,4858.00,1859.00,278.00,1400.00,0.00,1321.00
2024,11,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",499.00,76.00,29.42,2.80,22.27,0.00,21.50,0.00,1.00,4175.00,1451.00,168.00,1042.00,0.00,1514.00
2024,10,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",532.00,73.00,33.55,0.00,22.56,0.00,16.89,0.00,0.00,3598.00,1589.00,0.00,828.00,0.00,1181.00
2024,9,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",515.00,82.00,25.16,0.43,19.06,0.00,37.35,4.00,2.00,4944.00,1280.00,67.00,537.00,0.00,3060.00
2024,8,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",538.00,163.00,46.84,3.20,52.27,0.00,60.69,11.00,1.00,9822.00,2926.00,322.00,2566.00,0.00,4008.00
2024,7,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",512.00,152.00,57.19,6.30,37.93,0.00,50.59,26.00,8.00,10808.00,3803.00,771.00,1857.00,0.00,4377.00
2024,6,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",485.00,120.00,32.99,3.24,28.80,0.00,54.97,9.00,4.00,9392.00,2537.00,303.00,1060.00,0.00,5492.00
2024,5,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",492.00,172.00,49.34,12.16,42.30,0.00,68.20,14.00,3.00,13123.00,3315.00,1376.00,2149.00,0.00,6283.00
2024,4,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",477.00,110.00,47.11,0.00,30.22,0.00,32.67,3.00,4.00,6203.00,2911.00,0.00,950.00,0.00,2342.00
2024,3,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",553.00,104.00,35.83,1.21,28.02,0.00,38.94,0.00,1.00,7232.00,2371.00,51.00,1067.00,0.00,3743.00
2024,2,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",526.00,70.00,17.86,2.34,26.98,0.00,22.82,2.00,0.00,3780.00,1330.00,159.00,910.00,0.00,1381.00
2024,1,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",532.00,114.00,41.05,6.28,32.82,0.00,33.85,22.00,4.00,8474.00,3011.00,781.00,1740.00,0.00,2942.00
2023,12,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",492.00,72.00,27.22,0.88,25.80,0.00,18.09,0.00,0.00,3357.00,1478.00,87.00,829.00,0.00,963.00
2023,11,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",517.00,57.00,23.46,0.95,18.46,0.00,14.14,1.00,0.00,3545.00,1318.00,846.00,583.00,0.00,798.00
2023,10,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",538.00,56.00,22.02,0.74,18.62,0.00,13.61,1.00,1.00,3006.00,976.00,46.00,546.00,0.00,1207.00
2023,9,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",483.00,100.00,38.39,2.76,39.07,0.00,19.78,4.00,4.00,6379.00,2153.00,734.00,2044.00,0.00,1448.00
2023,8,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",492.00,90.00,22.93,0.45,30.78,0.00,35.85,7.00,4.00,4940.00,1250.00,36.00,1233.00,0.00,2421.00
2023,7,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",427.00,99.00,30.87,7.04,25.91,0.00,35.18,16.00,4.00,8103.00,1743.00,1376.00,1857.00,0.00,3127.00
2023,6,UA,United Air Lines Network,DCA,"Washington, DC: Ronald Reagan Washington National",435.00,109.00,50.53,2.64,26.14,0.00,29.68,20.00,4.00,7535.00,3266.00,996.00,1194.00,0.00,2079.00
