year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",78.00,33.00,8.37,2.03,3.99,0.00,18.61,1.00,0.00,2896.00,540.00,415.00,229.00,0.00,1712.00
2025,5,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",61.00,23.00,4.84,2.50,7.32,1.00,7.34,2.00,0.00,1087.00,177.00,145.00,235.00,31.00,499.00
2025,4,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",59.00,24.00,4.41,2.52,5.16,0.00,11.91,1.00,0.00,1486.00,214.00,150.00,193.00,0.00,929.00
2025,3,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",84.00,27.00,7.43,0.00,9.66,0.00,9.91,1.00,1.00,1019.00,247.00,0.00,355.00,0.00,417.00
2025,2,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",56.00,13.00,7.49,0.64,1.91,0.00,2.95,1.00,0.00,942.00,460.00,110.00,102.00,0.00,270.00
2025,1,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",62.00,14.00,3.56,0.82,2.55,0.00,7.07,3.00,0.00,708.00,217.00,18.00,98.00,0.00,375.00
2024,12,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",60.00,19.00,7.20,1.04,4.23,0.00,6.53,1.00,0.00,1298.00,316.00,117.00,117.00,0.00,748.00
2024,11,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",61.00,13.00,4.95,0.71,1.24,0.00,6.10,2.00,0.00,571.00,141.00,51.00,40.00,0.00,339.00
2024,10,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",84.00,14.00,6.52,0.00,5.15,0.00,2.33,0.00,0.00,507.00,249.00,0.00,119.00,0.00,139.00
2024,9,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",60.00,13.00,4.51,0.00,3.21,0.00,5.28,0.00,0.00,794.00,297.00,0.00,78.00,0.00,419.00
2024,8,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",60.00,22.00,5.76,0.85,2.48,0.00,12.91,1.00,2.00,1088.00,396.00,17.00,83.00,0.00,592.00
2024,7,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",59.00,27.00,6.41,1.00,1.71,0.00,17.88,0.00,0.00,1650.00,438.00,16.00,60.00,0.00,1136.00
2024,6,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",58.00,25.00,8.70,1.24,0.79,0.00,14.28,2.00,0.00,1652.00,385.00,139.00,45.00,0.00,1083.00
2024,5,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",61.00,27.00,9.24,3.47,3.02,0.00,11.27,4.00,0.00,2183.00,563.00,301.00,167.00,0.00,1152.00
2024,4,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",59.00,17.00,3.61,0.92,3.08,0.00,9.39,1.00,0.00,1025.00,136.00,76.00,139.00,0.00,674.00
2024,3,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",60.00,30.00,9.25,0.72,5.52,0.00,14.51,0.00,0.00,1743.00,358.00,80.00,238.00,0.00,1067.00
2024,2,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",58.00,13.00,3.81,0.00,3.53,0.00,5.65,0.00,0.00,454.00,126.00,0.00,96.00,0.00,232.00
2024,1,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",62.00,22.00,7.75,0.09,3.94,0.00,10.22,2.00,0.00,1495.00,601.00,6.00,151.00,0.00,737.00
2023,12,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",61.00,7.00,3.48,0.00,2.52,0.00,1.00,0.00,0.00,240.00,126.00,0.00,59.00,0.00,55.00
2023,11,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",59.00,6.00,1.95,0.00,4.05,0.00,0.00,0.00,0.00,185.00,85.00,0.00,100.00,0.00,0.00
2023,10,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",61.00,9.00,4.66,0.49,2.18,0.00,1.66,1.00,1.00,740.00,358.00,65.00,74.00,0.00,243.00
2023,9,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",69.00,16.00,3.53,0.00,6.87,0.00,5.60,2.00,0.00,848.00,272.00,0.00,214.00,0.00,362.00
2023,8,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",76.00,12.00,4.85,0.75,0.67,0.00,5.73,0.00,0.00,834.00,338.00,49.00,23.00,0.00,424.00
2023,7,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",93.00,40.00,18.32,0.00,5.93,0.00,15.75,0.00,0.00,3406.00,1731.00,0.00,184.00,0.00,1491.00
2023,6,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",88.00,43.00,18.73,1.56,4.40,0.00,18.32,3.00,0.00,2611.00,1472.00,71.00,188.00,0.00,880.00
2023,5,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",117.00,34.00,15.79,1.91,2.49,0.19,13.62,0.00,0.00,2778.00,1420.00,104.00,176.00,23.00,1055.00
2023,4,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",115.00,43.00,11.63,0.58,12.10,0.00,18.69,3.00,0.00,2471.00,491.00,57.00,449.00,0.00,1474.00
2023,3,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",116.00,31.00,15.24,1.08,3.24,0.00,11.44,3.00,0.00,2133.00,1106.00,111.00,118.00,0.00,798.00
2023,2,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",105.00,24.00,7.10,1.03,3.53,0.00,12.34,2.00,0.00,2637.00,729.00,222.00,148.00,0.00,1538.00
2023,1,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",131.00,33.00,11.82,0.26,6.15,0.00,14.76,3.00,0.00,2489.00,586.00,12.00,333.00,0.00,1558.00
2022,12,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",133.00,45.00,9.78,2.51,7.97,0.62,24.12,0.00,0.00,2787.00,467.00,151.00,250.00,45.00,1874.00
2022,11,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",122.00,27.00,5.72,0.00,4.56,0.00,16.72,1.00,0.00,1589.00,446.00,0.00,125.00,0.00,1018.00
2022,10,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",144.00,27.00,10.21,1.66,3.21,0.00,11.92,0.00,0.00,1749.00,778.00,66.00,146.00,0.00,759.00
2022,9,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",113.00,13.00,5.59,1.00,2.04,0.00,4.38,0.00,0.00,569.00,214.00,73.00,46.00,0.00,236.00
2022,8,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",107.00,41.00,15.16,2.31,4.94,0.00,18.59,8.00,0.00,2267.00,846.00,112.00,193.00,0.00,1116.00
2022,7,AA,American Airlines Network,IAD,"Washington, DC: Washington Dulles International",123.00,47.00,10.10,3.93,3.80,0.00,29.17,8.00,1.00,2868.00,393.00,280.00,180.00,0.00,2015.00
