year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",251.00,76.00,30.28,4.05,15.83,0.00,25.84,9.00,0.00,5305.00,2247.00,415.00,694.00,0.00,1949.00
2025,5,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",260.00,75.00,39.49,0.21,17.52,0.00,17.79,0.00,2.00,5230.00,3370.00,26.00,583.00,0.00,1251.00
2025,4,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",254.00,66.00,35.53,2.61,13.70,0.00,14.16,0.00,0.00,3754.00,2049.00,100.00,648.00,0.00,957.00
2025,3,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",256.00,59.00,33.71,0.00,10.52,0.00,14.77,1.00,0.00,3294.00,2007.00,0.00,431.00,0.00,856.00
2025,2,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",205.00,55.00,28.56,3.32,9.44,0.00,13.68,0.00,0.00,3124.00,1817.00,477.00,270.00,0.00,560.00
2025,1,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",212.00,46.00,25.35,2.79,11.11,0.00,6.75,6.00,0.00,4768.00,3188.00,479.00,602.00,0.00,499.00
2024,12,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",251.00,53.00,21.46,1.04,15.63,0.00,14.86,0.00,1.00,2712.00,1088.00,69.00,617.00,0.00,938.00
2024,11,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",254.00,24.00,14.92,1.00,4.30,0.00,3.77,0.00,0.00,1835.00,1010.00,479.00,132.00,0.00,214.00
2024,10,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",281.00,33.00,17.98,0.00,7.10,0.00,7.92,0.00,0.00,1716.00,1106.00,0.00,178.00,0.00,432.00
2024,9,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",272.00,35.00,17.76,2.00,5.86,0.00,9.38,1.00,1.00,3106.00,1848.00,545.00,182.00,0.00,531.00
2024,8,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",281.00,55.00,26.10,1.50,19.45,0.00,7.96,1.00,3.00,3964.00,1581.00,111.00,1686.00,0.00,586.00
2024,7,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",301.00,87.00,54.47,3.16,17.18,0.00,12.20,18.00,0.00,7965.00,6048.00,219.00,795.00,0.00,903.00
2024,6,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",294.00,61.00,32.21,0.32,12.82,0.00,15.65,0.00,0.00,4314.00,2732.00,9.00,655.00,0.00,918.00
2024,5,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",320.00,78.00,44.27,3.17,10.92,0.00,19.64,3.00,2.00,5336.00,3379.00,375.00,402.00,0.00,1180.00
2024,4,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",289.00,50.00,29.27,0.88,6.93,0.00,12.92,1.00,1.00,4052.00,2773.00,44.00,539.00,0.00,696.00
2024,3,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",242.00,45.00,23.09,0.00,9.17,0.00,12.73,0.00,0.00,2779.00,1567.00,0.00,494.00,0.00,718.00
2024,2,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",215.00,14.00,8.17,0.00,3.62,0.00,2.21,0.00,0.00,641.00,418.00,0.00,129.00,0.00,94.00
2024,1,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",227.00,40.00,17.48,2.36,10.94,0.00,9.22,0.00,0.00,2307.00,1279.00,235.00,384.00,0.00,409.00
2023,12,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",229.00,25.00,14.93,1.00,4.10,0.00,4.97,0.00,1.00,1645.00,922.00,39.00,200.00,0.00,484.00
2023,11,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",288.00,30.00,17.14,0.00,9.25,0.00,3.60,0.00,0.00,2555.00,2033.00,0.00,254.00,0.00,268.00
2023,10,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",298.00,20.00,13.98,0.50,1.53,0.00,3.98,0.00,0.00,906.00,725.00,8.00,31.00,0.00,142.00
2023,9,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",252.00,37.00,19.79,0.00,9.78,0.00,7.43,5.00,2.00,2993.00,1639.00,0.00,841.00,0.00,513.00
2023,8,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",275.00,55.00,26.25,6.64,7.46,0.00,14.64,3.00,1.00,4191.00,1671.00,623.00,505.00,0.00,1392.00
2023,7,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",268.00,71.00,40.37,2.10,11.68,0.00,16.85,3.00,1.00,4871.00,2848.00,103.00,660.00,0.00,1260.00
2023,6,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",262.00,69.00,37.64,1.59,10.18,0.00,19.59,2.00,0.00,3572.00,2098.00,188.00,370.00,0.00,916.00
2023,5,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",241.00,33.00,20.96,0.00,4.53,0.00,7.51,1.00,0.00,1562.00,994.00,0.00,156.00,0.00,412.00
2023,4,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",233.00,47.00,27.18,1.00,8.74,0.00,10.08,8.00,0.00,3305.00,2505.00,28.00,298.00,0.00,474.00
2023,3,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",222.00,56.00,26.14,2.80,15.55,0.00,11.51,1.00,0.00,3248.00,1766.00,274.00,524.00,0.00,684.00
2023,2,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",187.00,30.00,20.15,0.00,5.12,1.00,3.73,0.00,0.00,2750.00,2342.00,0.00,98.00,45.00,265.00
2023,1,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",214.00,43.00,26.33,1.47,6.04,0.00,9.16,0.00,0.00,2950.00,1983.00,120.00,224.00,0.00,623.00
2022,12,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",230.00,50.00,32.20,3.32,5.93,0.00,8.54,4.00,1.00,2669.00,1696.00,190.00,199.00,0.00,584.00
2022,11,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",228.00,14.00,5.96,0.00,4.34,0.00,3.70,0.00,0.00,547.00,298.00,0.00,95.00,0.00,154.00
2022,10,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",229.00,17.00,12.55,0.80,0.66,0.00,2.99,0.00,0.00,897.00,773.00,12.00,17.00,0.00,95.00
2022,9,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",220.00,14.00,7.75,0.00,5.14,0.00,1.11,1.00,1.00,1149.00,978.00,0.00,129.00,0.00,42.00
2022,8,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",221.00,27.00,14.54,2.90,6.47,0.00,3.09,0.00,3.00,2547.00,1373.00,146.00,582.00,0.00,446.00
2022,7,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",224.00,33.00,10.49,0.00,13.94,0.00,8.57,3.00,1.00,2002.00,651.00,0.00,544.00,0.00,807.00
2022,6,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",223.00,36.00,19.45,3.64,6.83,0.00,6.08,15.00,1.00,2706.00,1438.00,260.00,651.00,0.00,357.00
2022,5,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",203.00,45.00,28.37,0.00,9.73,0.00,6.90,3.00,0.00,4025.00,3281.00,0.00,351.00,0.00,393.00
2022,4,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",171.00,30.00,17.62,0.10,5.38,0.00,6.90,1.00,0.00,2131.00,1333.00,8.00,269.00,0.00,521.00
2022,3,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",175.00,27.00,15.66,0.00,3.15,0.00,8.19,1.00,0.00,1943.00,1524.00,0.00,82.00,0.00,337.00
2022,2,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",168.00,19.00,12.18,3.00,2.28,0.00,1.54,0.00,0.00,1651.00,1327.00,156.00,139.00,0.00,29.00
2022,1,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",193.00,30.00,18.48,1.15,6.92,0.00,3.44,12.00,0.00,2414.00,1760.00,76.00,277.00,0.00,301.00
2021,12,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",207.00,39.00,19.63,3.73,5.34,0.40,9.91,7.00,0.00,2438.00,1111.00,259.00,183.00,42.00,843.00
2021,11,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",221.00,16.00,6.50,1.00,3.39,0.98,4.14,0.00,0.00,527.00,262.00,45.00,76.00,41.00,103.00
2021,10,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",233.00,43.00,26.12,0.94,8.18,0.00,7.76,0.00,0.00,2614.00,1966.00,29.00,279.00,0.00,340.00
2021,9,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",220.00,20.00,12.45,0.00,3.74,0.00,3.81,0.00,0.00,816.00,594.00,0.00,91.00,0.00,131.00
2021,8,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",217.00,50.00,21.71,1.21,22.40,0.00,4.68,0.00,0.00,2662.00,1447.00,83.00,863.00,0.00,269.00
2021,7,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",216.00,50.00,30.64,1.61,12.57,0.00,5.18,0.00,0.00,3310.00,1769.00,123.00,959.00,0.00,459.00
2021,6,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",210.00,46.00,21.43,0.51,19.73,0.00,4.33,0.00,1.00,3037.00,2064.00,29.00,708.00,0.00,236.00
2021,5,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",210.00,20.00,14.09,0.68,3.90,0.00,1.32,0.00,1.00,728.00,393.00,55.00,114.00,0.00,166.00
2021,4,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",168.00,6.00,4.00,0.83,1.17,0.00,0.00,0.00,1.00,170.00,100.00,44.00,26.00,0.00,0.00
2021,3,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",172.00,12.00,6.46,0.55,3.38,0.00,1.61,0.00,0.00,575.00,383.00,49.00,105.00,0.00,38.00
2021,2,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",136.00,8.00,3.15,1.90,2.07,0.00,0.87,4.00,0.00,374.00,200.00,61.00,49.00,0.00,64.00
2021,1,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",131.00,9.00,1.93,1.00,4.34,0.00,1.73,2.00,0.00,426.00,106.00,76.00,134.00,0.00,110.00
2020,12,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",152.00,21.00,6.85,0.00,8.96,0.00,5.19,2.00,0.00,903.00,361.00,0.00,282.00,0.00,260.00
2020,11,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",177.00,12.00,4.92,0.00,5.14,0.00,1.94,6.00,0.00,787.00,431.00,0.00,167.00,0.00,189.00
2020,10,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",162.00,4.00,1.95,0.00,0.02,0.00,2.03,0.00,0.00,353.00,114.00,0.00,2.00,0.00,237.00
2020,9,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",186.00,9.00,6.08,0.00,1.65,0.00,1.27,0.00,1.00,553.00,441.00,0.00,52.00,0.00,60.00
2020,8,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",192.00,22.00,11.67,0.95,6.64,0.00,2.74,0.00,0.00,822.00,540.00,18.00,194.00,0.00,70.00
2020,7,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",122.00,14.00,7.06,0.00,5.69,0.00,1.25,0.00,0.00,722.00,501.00,0.00,165.00,0.00,56.00
2020,6,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",90.00,3.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,56.00,0.00,0.00,56.00,0.00,0.00
2020,5,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",113.00,2.00,1.93,0.00,0.07,0.00,0.00,0.00,1.00,89.00,87.00,0.00,2.00,0.00,0.00
2020,4,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",97.00,5.00,3.96,0.00,0.04,0.00,1.00,34.00,0.00,270.00,248.00,0.00,3.00,0.00,19.00
2020,3,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",264.00,7.00,6.92,0.00,0.08,0.00,0.00,68.00,1.00,385.00,381.00,0.00,4.00,0.00,0.00
2020,2,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",228.00,30.00,9.99,1.02,4.48,0.00,14.51,0.00,0.00,2670.00,666.00,150.00,162.00,0.00,1692.00
2020,1,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",249.00,18.00,9.74,0.48,3.88,1.00,2.90,0.00,0.00,778.00,456.00,24.00,108.00,49.00,141.00
2019,12,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",248.00,29.00,13.10,1.52,9.19,0.00,5.18,0.00,0.00,999.00,458.00,36.00,330.00,0.00,175.00
2019,11,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",253.00,19.00,9.18,0.18,6.07,0.00,3.56,0.00,0.00,693.00,342.00,6.00,210.00,0.00,135.00
2019,10,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",277.00,35.00,13.32,0.00,14.93,0.00,6.76,0.00,0.00,1445.00,519.00,0.00,650.00,0.00,276.00
2019,9,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",258.00,23.00,10.46,1.00,5.91,0.00,5.62,0.00,0.00,1454.00,703.00,52.00,332.00,0.00,367.00
2019,8,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",293.00,41.00,11.66,1.99,13.89,0.00,13.46,1.00,3.00,2033.00,426.00,102.00,786.00,0.00,719.00
2019,7,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",299.00,59.00,15.85,1.40,23.90,0.00,17.85,1.00,0.00,4129.00,724.00,256.00,1570.00,0.00,1579.00
2019,6,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",290.00,45.00,19.44,2.18,9.43,0.00,13.95,0.00,1.00,3177.00,1445.00,127.00,462.00,0.00,1143.00
2019,5,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",255.00,25.00,12.89,0.12,6.66,0.00,5.34,0.00,0.00,1653.00,981.00,18.00,333.00,0.00,321.00
2019,4,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",246.00,29.00,11.38,0.00,6.81,0.00,10.81,0.00,0.00,1847.00,688.00,0.00,312.00,0.00,847.00
2019,3,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",248.00,32.00,16.78,1.29,9.88,0.00,4.05,0.00,0.00,1505.00,796.00,44.00,389.00,0.00,276.00
2019,2,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",200.00,28.00,8.62,3.54,7.48,0.00,8.37,0.00,0.00,1788.00,791.00,166.00,342.00,0.00,489.00
2019,1,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",224.00,17.00,7.69,1.00,5.66,0.00,2.65,1.00,0.00,649.00,316.00,54.00,207.00,0.00,72.00
2018,12,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",253.00,25.00,8.57,4.25,6.73,0.00,5.44,0.00,0.00,882.00,285.00,123.00,208.00,0.00,266.00
2018,11,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",280.00,42.00,16.58,1.45,12.34,0.00,11.63,0.00,0.00,2131.00,885.00,83.00,607.00,0.00,556.00
2018,10,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",304.00,25.00,13.82,1.17,3.93,0.00,6.08,0.00,0.00,1227.00,759.00,104.00,178.00,0.00,186.00
2018,9,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",278.00,26.00,7.05,2.03,9.00,0.00,7.91,0.00,0.00,1397.00,346.00,76.00,467.00,0.00,508.00
2018,8,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",291.00,51.00,15.44,3.83,14.99,1.00,15.74,0.00,0.00,2856.00,645.00,294.00,745.00,39.00,1133.00
2018,7,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",277.00,45.00,12.03,5.89,14.94,0.00,12.14,1.00,0.00,3491.00,537.00,1226.00,844.00,0.00,884.00
2018,6,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",242.00,46.00,10.18,5.33,12.24,0.00,18.25,1.00,0.00,3871.00,759.00,567.00,854.00,0.00,1691.00
2018,5,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",224.00,51.00,18.33,1.26,21.01,0.00,10.41,1.00,0.00,2945.00,876.00,101.00,1509.00,0.00,459.00
2018,4,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",219.00,29.00,16.29,0.22,7.44,1.00,4.05,0.00,0.00,1672.00,1084.00,25.00,369.00,31.00,163.00
2018,3,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",224.00,18.00,8.34,1.00,2.64,0.00,6.02,0.00,0.00,608.00,269.00,32.00,88.00,0.00,219.00
2018,2,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",198.00,16.00,7.39,1.03,2.05,0.00,5.54,0.00,0.00,985.00,429.00,55.00,47.00,0.00,454.00
2018,1,DL,Delta Air Lines Network,IAD,"Washington, DC: Washington Dulles International",216.00,23.00,10.57,4.91,1.51,0.00,6.00,5.00,0.00,1290.00,564.00,254.00,108.00,0.00,364.00
2017,12,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",226.00,25.00,11.04,1.03,5.64,0.00,7.29,12.00,0.00,1117.00,349.00,181.00,296.00,0.00,291.00
2017,11,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",254.00,10.00,5.25,0.00,3.34,0.00,1.42,0.00,0.00,331.00,204.00,0.00,75.00,0.00,52.00
2017,10,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",276.00,25.00,11.29,1.56,5.22,0.00,6.92,0.00,0.00,871.00,408.00,60.00,165.00,0.00,238.00
2017,9,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",277.00,22.00,8.89,1.81,4.60,0.00,6.70,3.00,0.00,1262.00,359.00,468.00,155.00,0.00,280.00
2017,8,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",270.00,37.00,11.47,3.67,9.96,0.00,11.90,0.00,0.00,1809.00,523.00,132.00,526.00,0.00,628.00
