year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",111.00,41.00,11.38,0.00,14.06,0.30,15.26,2.00,0.00,2469.00,584.00,0.00,539.00,6.00,1340.00
2025,5,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",114.00,37.00,10.94,0.07,10.10,0.00,15.88,0.00,0.00,1872.00,329.00,5.00,277.00,0.00,1261.00
2025,4,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",112.00,30.00,15.26,0.46,5.51,0.00,8.77,0.00,0.00,1460.00,815.00,13.00,221.00,0.00,411.00
2025,3,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",110.00,20.00,6.37,0.00,3.46,0.00,10.17,0.00,1.00,1052.00,251.00,0.00,84.00,0.00,717.00
2025,2,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",80.00,12.00,5.50,0.00,1.89,0.00,4.61,0.00,1.00,568.00,224.00,0.00,71.00,0.00,273.00
2025,1,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",93.00,17.00,7.43,0.00,4.19,0.07,5.30,0.00,0.00,643.00,275.00,0.00,180.00,2.00,186.00
2024,12,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",103.00,26.00,9.58,0.00,3.04,0.00,13.39,0.00,0.00,1344.00,510.00,0.00,101.00,0.00,733.00
2024,11,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",102.00,13.00,3.92,1.03,5.29,0.00,2.76,0.00,0.00,569.00,177.00,66.00,258.00,0.00,68.00
2024,10,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",97.00,17.00,7.20,0.00,4.56,0.00,5.24,0.00,1.00,803.00,414.00,0.00,161.00,0.00,228.00
2024,9,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",106.00,22.00,11.46,0.00,2.33,0.00,8.22,0.00,0.00,931.00,509.00,0.00,94.00,0.00,328.00
2024,8,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",110.00,27.00,11.01,0.00,8.98,0.00,7.01,0.00,2.00,1045.00,378.00,0.00,349.00,0.00,318.00
2024,7,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",116.00,35.00,12.46,0.00,3.71,0.00,18.82,0.00,0.00,1804.00,761.00,0.00,139.00,0.00,904.00
2024,6,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",110.00,34.00,12.78,0.00,5.62,0.00,15.59,1.00,0.00,2249.00,765.00,0.00,213.00,0.00,1271.00
2024,5,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",107.00,23.00,7.42,0.00,4.70,0.00,10.88,0.00,0.00,1310.00,427.00,0.00,206.00,0.00,677.00
2024,4,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",97.00,20.00,10.48,0.13,2.74,0.00,6.65,0.00,0.00,873.00,369.00,7.00,102.00,0.00,395.00
2024,3,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",76.00,25.00,6.01,0.00,5.47,0.00,13.52,0.00,0.00,800.00,211.00,0.00,145.00,0.00,444.00
2024,2,WN,Southwest Airlines,IAD,"Washington, DC: Washington Dulles International",46.00,14.00,6.08,0.49,5.08,0.00,2.36,0.00,1.00,758.00,375.00,67.00,208.00,0.00,108.00
