year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",3038.00,702.00,207.88,32.58,276.43,0.00,185.11,16.00,30.00,53321.00,14675.00,3235.00,14698.00,0.00,20713.00
2025,5,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",3310.00,694.00,201.37,27.56,282.40,0.00,182.66,22.00,6.00,46466.00,14358.00,1908.00,11695.00,0.00,18505.00
2025,4,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2988.00,396.00,132.19,13.67,135.57,0.00,114.57,6.00,1.00,25946.00,7536.00,1131.00,5590.00,0.00,11689.00
2025,3,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2956.00,438.00,141.04,8.22,140.50,0.00,148.24,10.00,4.00,28153.00,9480.00,916.00,4864.00,0.00,12893.00
2025,2,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2473.00,345.00,108.88,10.48,104.29,0.00,121.36,6.00,3.00,24363.00,6907.00,1363.00,4144.00,0.00,11949.00
2025,1,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2600.00,439.00,148.18,13.29,170.85,0.00,106.68,55.00,3.00,26666.00,8129.00,1202.00,7473.00,0.00,9862.00
2024,12,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2742.00,468.00,187.99,7.18,133.39,0.00,139.44,10.00,1.00,32238.00,12054.00,661.00,5174.00,0.00,14349.00
2024,11,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2844.00,293.00,113.00,2.19,70.95,0.00,106.86,11.00,1.00,18651.00,7472.00,170.00,2500.00,0.00,8509.00
2024,10,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2928.00,255.00,94.25,1.00,79.93,0.00,79.81,23.00,0.00,14028.00,5564.00,23.00,2620.00,0.00,5821.00
2024,9,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2644.00,288.00,113.18,7.19,85.61,0.00,82.02,21.00,1.00,19597.00,7349.00,449.00,2875.00,0.00,8924.00
2024,8,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2712.00,501.00,149.97,22.97,160.58,0.14,167.34,67.00,37.00,43955.00,11804.00,2331.00,9980.00,8.00,19832.00
2024,7,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2692.00,619.00,260.57,26.56,117.36,0.00,214.51,63.00,4.00,54542.00,23939.00,2249.00,5997.00,0.00,22357.00
2024,6,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2675.00,470.00,165.05,39.23,87.90,0.00,177.81,27.00,4.00,37997.00,13715.00,3737.00,4117.00,0.00,16428.00
2024,5,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2831.00,558.00,208.15,25.48,118.39,0.00,205.98,24.00,5.00,47976.00,17904.00,3189.00,5156.00,0.00,21727.00
2024,4,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2725.00,375.00,111.65,10.77,127.29,0.09,125.20,14.00,5.00,28802.00,9970.00,1314.00,4910.00,7.00,12601.00
2024,3,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2752.00,461.00,137.99,6.90,154.67,0.00,161.44,9.00,3.00,29626.00,9387.00,709.00,6646.00,0.00,12884.00
2024,2,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2385.00,327.00,98.83,3.08,120.94,0.00,104.14,8.00,2.00,21353.00,7861.00,672.00,3673.00,0.00,9147.00
2024,1,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2321.00,420.00,146.63,12.42,104.38,0.00,156.57,228.00,7.00,36511.00,12908.00,1581.00,4815.00,0.00,17207.00
2023,12,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2420.00,365.00,124.77,3.49,131.00,0.00,105.74,6.00,1.00,20770.00,8392.00,223.00,3554.00,0.00,8601.00
2023,11,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2237.00,292.00,105.01,3.02,106.34,0.00,77.64,3.00,1.00,15322.00,5794.00,233.00,3066.00,0.00,6229.00
2023,10,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",3012.00,288.00,110.81,5.54,80.69,0.00,90.96,5.00,2.00,18590.00,8288.00,250.00,2622.00,0.00,7430.00
2023,9,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2811.00,554.00,192.17,18.83,199.37,0.00,143.64,50.00,3.00,43185.00,13725.00,2388.00,11801.00,0.00,15271.00
2023,8,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2965.00,518.00,174.70,22.85,137.47,0.00,182.98,30.00,6.00,38781.00,11946.00,3192.00,6406.00,0.00,17237.00
2023,7,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2790.00,777.00,281.09,28.81,169.75,0.00,297.35,57.00,7.00,67574.00,23945.00,3542.00,10262.00,0.00,29825.00
2023,6,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2613.00,703.00,297.44,28.32,165.32,0.80,211.12,118.00,9.00,57315.00,26386.00,2265.00,6659.00,205.00,21800.00
2023,5,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2764.00,530.00,206.17,16.06,118.06,0.00,189.71,16.00,1.00,38909.00,16501.00,1243.00,4081.00,0.00,17084.00
2023,4,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2590.00,528.00,203.51,8.07,142.38,0.00,174.04,34.00,4.00,36623.00,15003.00,666.00,5933.00,0.00,15021.00
2023,3,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2710.00,424.00,146.53,5.35,121.49,0.00,150.64,16.00,0.00,27246.00,9263.00,581.00,4880.00,0.00,12522.00
2023,2,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2171.00,331.00,117.45,5.68,79.56,0.00,128.31,14.00,3.00,20979.00,7225.00,462.00,2578.00,0.00,10714.00
2023,1,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2263.00,451.00,175.02,3.53,124.20,0.00,148.26,18.00,7.00,32738.00,12876.00,270.00,5935.00,0.00,13657.00
2022,12,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2700.00,603.00,272.91,12.90,77.83,0.00,239.36,44.00,1.00,46214.00,19366.00,2433.00,2977.00,0.00,21438.00
2022,11,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2522.00,300.00,105.77,3.60,72.99,0.00,117.64,13.00,0.00,18497.00,6780.00,200.00,2673.00,0.00,8844.00
2022,10,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2646.00,293.00,115.97,2.18,77.72,0.07,97.07,15.00,2.00,22210.00,10872.00,162.00,2379.00,7.00,8790.00
2022,9,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2519.00,310.00,102.17,14.73,106.51,0.00,86.59,35.00,7.00,19186.00,6706.00,979.00,4244.00,0.00,7257.00
2022,8,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2660.00,524.00,180.81,28.77,154.57,0.00,159.86,64.00,14.00,48084.00,13564.00,4649.00,12027.00,0.00,17844.00
2022,7,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2691.00,523.00,181.42,23.40,146.07,0.00,172.12,48.00,7.00,42034.00,15138.00,1912.00,7209.00,0.00,17775.00
2022,6,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2549.00,543.00,200.44,29.22,131.47,0.39,181.48,75.00,10.00,49769.00,16112.00,3595.00,9131.00,9.00,20922.00
2022,5,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2519.00,542.00,182.34,15.21,169.54,0.00,174.91,45.00,5.00,35629.00,12114.00,1258.00,7020.00,0.00,15237.00
2022,4,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2352.00,363.00,142.04,9.70,77.69,0.00,133.57,27.00,15.00,28945.00,10735.00,818.00,3244.00,0.00,14148.00
2022,3,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2315.00,419.00,151.69,10.95,95.27,0.00,161.09,12.00,4.00,29285.00,9426.00,1235.00,3700.00,0.00,14924.00
2022,2,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1986.00,309.00,127.12,8.18,67.26,0.00,106.44,34.00,2.00,20517.00,8302.00,1074.00,3069.00,0.00,8072.00
2022,1,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2102.00,384.00,180.97,5.81,76.45,0.00,120.77,105.00,0.00,25744.00,12926.00,551.00,2676.00,0.00,9591.00
2021,12,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2253.00,314.00,151.34,10.03,45.54,0.00,107.08,46.00,4.00,18329.00,7386.00,533.00,1733.00,0.00,8677.00
2021,11,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2101.00,210.00,87.94,1.34,58.99,0.00,61.72,7.00,0.00,9761.00,4409.00,80.00,1511.00,0.00,3761.00
2021,10,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2346.00,343.00,110.27,3.36,120.41,0.00,108.95,10.00,2.00,19538.00,6256.00,186.00,4246.00,0.00,8850.00
2021,9,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2107.00,262.00,88.89,8.94,83.05,0.00,81.12,22.00,1.00,17960.00,9205.00,469.00,2417.00,0.00,5869.00
2021,8,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2086.00,523.00,140.99,30.41,193.34,0.00,158.26,22.00,10.00,34605.00,10642.00,2093.00,8633.00,0.00,13237.00
2021,7,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1981.00,493.00,162.18,22.03,175.64,0.00,133.15,17.00,10.00,35914.00,11634.00,2714.00,9790.00,0.00,11776.00
2021,6,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1625.00,343.00,102.56,27.19,143.08,0.00,70.18,1.00,3.00,23511.00,6076.00,2538.00,7589.00,0.00,7308.00
2021,5,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1458.00,146.00,52.75,6.81,61.21,0.00,25.23,4.00,2.00,7604.00,2846.00,470.00,2023.00,0.00,2265.00
2021,4,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1335.00,114.00,30.84,4.15,53.48,0.00,25.53,5.00,0.00,6638.00,1861.00,327.00,2014.00,0.00,2436.00
2021,3,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1357.00,97.00,28.22,3.16,42.88,0.00,22.74,19.00,0.00,4655.00,1536.00,215.00,1325.00,0.00,1579.00
2021,2,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1082.00,126.00,34.02,12.72,42.06,0.00,37.21,18.00,2.00,9172.00,2880.00,1367.00,1602.00,0.00,3323.00
2021,1,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1190.00,121.00,53.42,1.66,49.76,0.00,16.17,17.00,2.00,5910.00,2830.00,169.00,1380.00,0.00,1531.00
2020,12,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1301.00,125.00,50.86,4.35,43.92,0.00,25.87,32.00,1.00,7273.00,2836.00,1386.00,1275.00,0.00,1776.00
2020,11,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1184.00,64.00,23.63,1.47,28.58,0.00,10.31,6.00,0.00,3064.00,1072.00,29.00,824.00,0.00,1139.00
2020,10,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1148.00,63.00,23.74,6.03,22.87,0.00,10.35,2.00,2.00,3359.00,1697.00,207.00,555.00,0.00,900.00
2020,9,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",807.00,49.00,13.13,1.70,30.56,0.00,3.61,2.00,1.00,2132.00,830.00,239.00,764.00,0.00,299.00
2020,8,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",944.00,70.00,17.74,6.93,36.17,0.00,9.16,9.00,1.00,3419.00,1022.00,365.00,986.00,0.00,1046.00
2020,7,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",702.00,51.00,14.52,5.49,27.35,0.00,3.64,2.00,1.00,2990.00,988.00,325.00,1442.00,0.00,235.00
2020,6,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",515.00,26.00,9.86,5.70,9.60,0.00,0.85,0.00,0.00,1219.00,434.00,478.00,290.00,0.00,17.00
2020,5,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",555.00,25.00,17.21,0.01,5.47,0.00,2.30,12.00,1.00,1310.00,821.00,3.00,186.00,0.00,300.00
2020,4,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1164.00,19.00,12.26,0.00,3.09,0.00,3.65,455.00,0.00,1525.00,974.00,0.00,145.00,0.00,406.00
2020,3,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",2476.00,123.00,43.50,1.75,28.75,0.00,48.99,556.00,0.00,7303.00,3230.00,87.00,780.00,0.00,3206.00
2020,2,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1886.00,209.00,52.89,3.45,68.85,0.00,83.81,4.00,0.00,11604.00,3492.00,207.00,2007.00,0.00,5898.00
2020,1,UA,United Air Lines Network,IAD,"Washington, DC: Washington Dulles International",1970.00,193.00,54.62,1.81,60.38,0.00,76.19,4.00,1.00,11270.00,3797.00,266.00,1782.00,0.00,5425.00
