year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",232.00,85.00,29.59,4.86,15.54,0.00,35.01,2.00,1.00,6214.00,1728.00,572.00,661.00,0.00,3253.00
2025,5,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",240.00,81.00,24.05,6.24,13.60,0.00,37.10,2.00,0.00,4267.00,762.00,548.00,692.00,0.00,2265.00
2025,4,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",207.00,61.00,23.19,1.79,12.04,0.00,23.97,5.00,0.00,4539.00,1603.00,88.00,591.00,0.00,2257.00
2025,3,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",182.00,54.00,23.13,0.45,11.36,0.00,19.06,5.00,1.00,3435.00,1593.00,48.00,618.00,0.00,1176.00
2025,2,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",179.00,25.00,10.19,0.00,5.15,0.00,9.66,5.00,0.00,1386.00,523.00,0.00,191.00,0.00,672.00
2025,1,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",218.00,51.00,24.48,0.36,5.73,0.00,20.43,16.00,0.00,3266.00,1278.00,24.00,442.00,0.00,1522.00
2024,12,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",157.00,35.00,14.94,1.63,5.23,0.00,13.20,1.00,0.00,3323.00,1299.00,253.00,234.00,0.00,1537.00
2024,11,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",190.00,30.00,13.37,0.00,4.63,0.00,12.00,2.00,0.00,2345.00,1334.00,0.00,178.00,0.00,833.00
2024,10,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",208.00,44.00,20.69,0.63,7.15,1.09,14.44,0.00,1.00,2632.00,1556.00,20.00,229.00,80.00,747.00
2024,9,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",241.00,64.00,21.70,4.42,11.17,1.03,25.67,4.00,0.00,4526.00,1200.00,864.00,896.00,25.00,1541.00
2024,8,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",259.00,74.00,32.07,6.86,5.43,1.00,28.64,5.00,3.00,8207.00,3494.00,1493.00,223.00,88.00,2909.00
2024,7,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",241.00,84.00,31.08,7.52,10.25,0.47,34.68,10.00,1.00,7044.00,2213.00,1791.00,552.00,9.00,2479.00
2024,6,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",266.00,87.00,36.00,4.87,8.11,0.13,37.88,5.00,0.00,7873.00,2822.00,783.00,390.00,4.00,3874.00
2024,5,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",304.00,101.00,37.84,6.56,13.51,0.00,43.09,19.00,1.00,11889.00,4818.00,1824.00,511.00,0.00,4736.00
2024,4,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",289.00,68.00,26.33,2.73,8.16,0.00,30.78,3.00,1.00,7781.00,3588.00,757.00,309.00,0.00,3127.00
2024,3,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",247.00,67.00,21.78,3.09,9.17,0.00,32.96,3.00,0.00,4249.00,1377.00,142.00,409.00,0.00,2321.00
2024,2,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",232.00,52.00,22.31,0.25,7.35,0.00,22.09,0.00,1.00,2910.00,1340.00,24.00,281.00,0.00,1265.00
2024,1,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",246.00,63.00,22.42,3.12,7.14,0.00,30.31,3.00,1.00,4824.00,1551.00,276.00,423.00,0.00,2574.00
2023,12,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",220.00,41.00,16.45,1.36,9.87,0.00,13.31,0.00,1.00,1828.00,724.00,69.00,238.00,0.00,797.00
2023,11,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",244.00,31.00,13.66,0.21,5.58,0.00,11.56,0.00,0.00,1871.00,611.00,15.00,682.00,0.00,563.00
2023,10,AA,American Airlines Network,ORF,"Norfolk, VA: Norfolk International",210.00,39.00,19.89,0.00,1.74,0.00,17.37,1.00,3.00,6900.00,3332.00,0.00,72.00,0.00,3496.00
