year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",289.00,111.00,52.23,9.06,29.38,0.00,20.34,5.00,1.00,7711.00,3455.00,1002.00,1468.00,0.00,1786.00
2025,5,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",228.00,65.00,32.80,2.26,17.71,0.00,12.23,0.00,0.00,3973.00,2322.00,244.00,781.00,0.00,626.00
2025,4,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",208.00,44.00,26.36,1.68,8.83,0.00,7.13,4.00,0.00,3199.00,2012.00,315.00,488.00,0.00,384.00
2025,3,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",207.00,51.00,33.39,1.23,8.42,0.00,7.96,0.00,1.00,2795.00,1662.00,91.00,279.00,0.00,763.00
2025,2,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",182.00,42.00,23.38,1.53,7.59,0.00,9.50,3.00,0.00,3351.00,1398.00,643.00,781.00,0.00,529.00
2025,1,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",185.00,43.00,17.89,5.19,12.53,0.00,7.39,7.00,1.00,2755.00,1047.00,590.00,677.00,0.00,441.00
2024,12,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",204.00,52.00,28.40,0.00,9.47,0.00,14.13,0.00,0.00,2963.00,1931.00,0.00,349.00,0.00,683.00
2024,11,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",198.00,25.00,17.94,0.00,2.47,0.00,4.59,0.00,1.00,1245.00,1032.00,0.00,94.00,0.00,119.00
2024,10,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",221.00,28.00,20.43,0.25,4.18,0.00,3.15,0.00,0.00,1260.00,977.00,35.00,111.00,0.00,137.00
2024,9,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",208.00,44.00,27.78,0.39,4.47,0.00,11.36,0.00,0.00,2879.00,2246.00,21.00,156.00,0.00,456.00
2024,8,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",234.00,59.00,25.26,0.00,18.23,0.89,14.61,0.00,2.00,3405.00,1425.00,0.00,1208.00,34.00,738.00
2024,7,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",239.00,97.00,37.87,8.09,26.66,0.00,24.37,20.00,5.00,8175.00,4125.00,1211.00,1248.00,0.00,1591.00
2024,6,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",225.00,47.00,28.44,0.26,8.20,0.00,10.09,0.00,0.00,2664.00,1541.00,15.00,364.00,0.00,744.00
2024,5,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",211.00,52.00,25.95,0.85,9.52,0.00,15.69,1.00,0.00,2940.00,1257.00,91.00,428.00,0.00,1164.00
2024,4,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",192.00,47.00,30.34,0.00,9.56,0.00,7.10,1.00,0.00,2309.00,1561.00,0.00,332.00,0.00,416.00
2024,3,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",181.00,42.00,27.98,0.21,5.65,0.00,8.15,0.00,0.00,1750.00,1238.00,6.00,171.00,0.00,335.00
2024,2,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",157.00,22.00,15.55,0.00,3.46,0.00,3.00,0.00,1.00,854.00,630.00,0.00,136.00,0.00,88.00
2024,1,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",173.00,30.00,12.18,2.82,10.68,0.00,4.32,2.00,1.00,1899.00,761.00,314.00,552.00,0.00,272.00
2023,12,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",229.00,33.00,15.03,0.00,12.99,0.00,4.98,0.00,3.00,1558.00,971.00,0.00,387.00,0.00,200.00
2023,11,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",213.00,10.00,4.88,0.00,4.13,0.00,1.00,0.00,1.00,441.00,299.00,0.00,119.00,0.00,23.00
2023,10,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",211.00,15.00,9.28,0.00,1.45,0.00,4.28,0.00,2.00,529.00,344.00,0.00,38.00,0.00,147.00
2023,9,DL,Delta Air Lines Network,ORF,"Norfolk, VA: Norfolk International",203.00,31.00,16.87,0.00,7.11,0.00,7.03,0.00,0.00,1210.00,620.00,0.00,228.00,0.00,362.00
