year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",326.00,99.00,36.98,1.90,16.97,0.00,43.15,3.00,0.00,5014.00,1877.00,127.00,688.00,0.00,2322.00
2025,5,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",259.00,55.00,17.06,3.96,8.11,1.00,24.87,2.00,2.00,2746.00,786.00,228.00,283.00,25.00,1424.00
2025,4,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",251.00,57.00,24.77,0.00,5.73,1.00,25.51,0.00,0.00,2966.00,1187.00,0.00,161.00,29.00,1589.00
2025,3,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",254.00,46.00,18.34,1.29,4.62,0.00,21.74,3.00,3.00,2337.00,937.00,70.00,154.00,0.00,1176.00
2025,2,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",213.00,30.00,12.05,0.78,7.35,0.00,9.82,3.00,0.00,1921.00,847.00,63.00,320.00,0.00,691.00
2025,1,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",232.00,33.00,11.12,2.18,8.97,0.00,10.73,1.00,0.00,2259.00,592.00,430.00,516.00,0.00,721.00
2024,12,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",253.00,66.00,30.23,0.00,10.82,0.00,24.95,0.00,0.00,2637.00,992.00,0.00,388.00,0.00,1257.00
2024,11,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",242.00,36.00,13.13,0.27,7.90,0.00,14.70,0.00,0.00,1691.00,886.00,18.00,297.00,0.00,490.00
2024,10,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",286.00,42.00,13.89,0.00,5.43,0.00,22.68,3.00,0.00,1550.00,533.00,0.00,133.00,0.00,884.00
2024,9,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",293.00,43.00,18.72,0.00,6.10,0.00,18.18,0.00,0.00,1695.00,714.00,0.00,167.00,0.00,814.00
2024,8,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",302.00,85.00,32.05,0.00,19.99,0.00,32.97,4.00,1.00,3791.00,1255.00,0.00,1074.00,0.00,1462.00
2024,7,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",293.00,109.00,33.01,4.36,22.00,0.00,49.63,2.00,0.00,4941.00,1490.00,302.00,1078.00,0.00,2071.00
2024,6,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",291.00,96.00,46.69,2.58,8.57,1.00,37.15,0.00,1.00,4115.00,1920.00,174.00,259.00,36.00,1726.00
2024,5,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",263.00,88.00,26.17,0.73,15.93,0.00,45.16,0.00,1.00,4126.00,933.00,323.00,771.00,0.00,2099.00
2024,4,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",254.00,43.00,16.51,0.00,3.21,0.00,23.28,1.00,0.00,1782.00,755.00,0.00,135.00,0.00,892.00
2024,3,WN,Southwest Airlines,ORF,"Norfolk, VA: Norfolk International",250.00,55.00,25.26,0.00,1.84,0.00,27.90,1.00,1.00,2539.00,1149.00,0.00,52.00,0.00,1338.00
