year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",127.00,44.00,11.83,0.11,13.20,0.00,18.86,0.00,0.00,3523.00,953.00,26.00,530.00,0.00,2014.00
2025,5,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",164.00,51.00,13.90,2.86,11.51,0.00,22.73,5.00,0.00,4270.00,639.00,1082.00,447.00,0.00,2102.00
2025,4,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",150.00,44.00,14.65,0.00,13.62,0.00,15.73,1.00,0.00,3181.00,780.00,0.00,547.00,0.00,1854.00
2025,3,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",180.00,41.00,14.87,1.87,8.93,0.00,15.33,1.00,1.00,2994.00,1394.00,111.00,395.00,0.00,1094.00
2025,2,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",134.00,29.00,6.70,1.98,7.71,0.00,12.61,4.00,0.00,3320.00,336.00,1578.00,280.00,0.00,1126.00
2025,1,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",137.00,27.00,11.86,0.64,6.48,0.00,8.03,3.00,0.00,1370.00,557.00,79.00,237.00,0.00,497.00
2024,12,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",145.00,41.00,14.65,2.95,9.80,0.00,13.59,0.00,0.00,3210.00,681.00,579.00,353.00,0.00,1597.00
2024,11,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",170.00,23.00,9.02,0.00,7.60,0.00,6.38,1.00,0.00,1759.00,434.00,0.00,791.00,0.00,534.00
2024,10,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",203.00,19.00,6.68,0.00,6.12,0.00,6.20,2.00,0.00,647.00,213.00,0.00,171.00,0.00,263.00
2024,9,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",182.00,30.00,8.02,0.59,10.87,0.00,10.52,1.00,0.00,1425.00,357.00,74.00,390.00,0.00,604.00
2024,8,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",203.00,78.00,30.21,3.00,25.49,0.00,19.30,8.00,0.00,8449.00,3699.00,448.00,1530.00,0.00,2772.00
2024,7,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",216.00,75.00,21.01,3.19,19.40,0.00,31.40,16.00,0.00,5400.00,1831.00,262.00,806.00,0.00,2501.00
2024,6,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",210.00,71.00,27.10,3.54,22.84,0.00,17.52,6.00,2.00,4374.00,1443.00,316.00,740.00,0.00,1875.00
2024,5,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",213.00,78.00,25.20,3.55,22.31,0.00,26.94,7.00,0.00,5888.00,1468.00,333.00,1575.00,0.00,2512.00
2024,4,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",232.00,48.00,16.88,1.95,15.11,0.00,14.05,3.00,1.00,1935.00,690.00,72.00,435.00,0.00,738.00
2024,3,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",208.00,45.00,18.29,1.00,8.71,0.00,17.00,0.00,0.00,2606.00,996.00,23.00,272.00,0.00,1315.00
2024,2,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",181.00,27.00,9.77,1.53,8.22,0.00,7.48,0.00,2.00,1441.00,508.00,202.00,314.00,0.00,417.00
2024,1,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",168.00,42.00,12.06,2.65,7.99,0.00,19.30,2.00,0.00,3077.00,638.00,508.00,310.00,0.00,1621.00
2023,12,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",148.00,41.00,10.71,0.73,17.01,0.00,12.54,0.00,4.00,1455.00,405.00,24.00,407.00,0.00,619.00
2023,11,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",155.00,38.00,7.96,0.00,17.56,0.00,12.49,0.00,0.00,2193.00,352.00,0.00,595.00,0.00,1246.00
2023,10,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",200.00,31.00,10.76,1.00,11.95,0.00,7.30,1.00,1.00,1458.00,602.00,21.00,267.00,0.00,568.00
2023,9,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",252.00,58.00,22.26,1.82,16.44,0.00,17.48,9.00,2.00,3234.00,1222.00,254.00,619.00,0.00,1139.00
2023,8,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",246.00,63.00,23.86,3.04,14.61,0.00,21.49,6.00,1.00,3286.00,917.00,569.00,532.00,0.00,1268.00
2023,7,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",239.00,106.00,45.23,3.48,20.24,0.00,37.05,9.00,0.00,7224.00,2574.00,315.00,814.00,0.00,3521.00
2023,6,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",214.00,61.00,24.89,3.17,15.99,0.00,16.95,27.00,1.00,3884.00,1668.00,409.00,488.00,0.00,1319.00
2023,5,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",201.00,50.00,19.89,2.92,12.18,0.00,15.02,10.00,3.00,6431.00,1098.00,1728.00,2061.00,0.00,1544.00
2023,4,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",185.00,45.00,21.79,1.56,14.19,0.00,7.47,9.00,1.00,3667.00,795.00,152.00,1467.00,0.00,1253.00
2023,3,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",178.00,53.00,26.42,0.83,8.87,0.00,16.87,2.00,0.00,2239.00,929.00,15.00,234.00,0.00,1061.00
2023,2,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",155.00,33.00,16.44,0.05,8.07,0.00,8.44,1.00,0.00,2553.00,1540.00,10.00,369.00,0.00,634.00
2023,1,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",173.00,46.00,13.72,0.02,8.96,0.00,23.29,0.00,1.00,3341.00,774.00,1.00,419.00,0.00,2147.00
2022,12,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",166.00,40.00,14.15,3.11,6.32,0.00,16.42,1.00,0.00,3115.00,931.00,176.00,246.00,0.00,1762.00
2022,11,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",98.00,19.00,4.43,0.00,2.64,0.00,11.93,1.00,0.00,952.00,208.00,0.00,61.00,0.00,683.00
2022,10,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",176.00,29.00,11.72,0.00,9.67,0.00,7.61,0.00,1.00,1260.00,399.00,0.00,284.00,0.00,577.00
2022,9,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",170.00,35.00,13.62,4.33,7.68,0.00,9.37,1.00,0.00,1415.00,515.00,302.00,190.00,0.00,408.00
2022,8,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",169.00,42.00,18.83,1.78,10.79,0.00,10.60,4.00,0.00,2603.00,1354.00,174.00,387.00,0.00,688.00
2022,7,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",165.00,52.00,19.32,7.61,9.71,0.00,15.36,4.00,1.00,3609.00,1389.00,487.00,484.00,0.00,1249.00
2022,6,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",129.00,35.00,11.85,2.64,5.70,0.00,14.81,3.00,0.00,2630.00,1008.00,274.00,203.00,0.00,1145.00
2022,5,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",151.00,68.00,28.47,0.37,19.10,0.00,20.06,4.00,0.00,4764.00,2310.00,19.00,536.00,0.00,1899.00
2022,4,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",84.00,18.00,7.06,2.00,2.17,0.00,6.78,0.00,0.00,1321.00,385.00,104.00,62.00,0.00,770.00
2022,3,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",73.00,15.00,8.13,0.00,2.64,0.00,4.23,0.00,0.00,958.00,494.00,0.00,101.00,0.00,363.00
2022,2,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",68.00,19.00,9.14,0.82,3.28,0.00,5.76,1.00,0.00,1865.00,543.00,677.00,89.00,0.00,556.00
2022,1,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",40.00,19.00,13.82,0.00,3.37,0.00,1.82,2.00,0.00,1365.00,1105.00,0.00,90.00,0.00,170.00
2021,12,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",85.00,22.00,11.49,0.70,1.20,0.00,8.61,1.00,0.00,1256.00,547.00,21.00,52.00,0.00,636.00
2021,11,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",60.00,5.00,3.82,0.00,0.65,0.00,0.53,1.00,0.00,268.00,221.00,0.00,11.00,0.00,36.00
2021,10,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",71.00,12.00,4.55,1.22,2.09,0.00,4.15,1.00,0.00,1258.00,683.00,47.00,41.00,0.00,487.00
2021,9,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",127.00,16.00,5.76,1.00,1.16,0.00,8.07,1.00,0.00,1095.00,325.00,23.00,100.00,0.00,647.00
2021,8,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",179.00,60.00,24.42,6.91,13.49,0.00,15.18,3.00,0.00,4431.00,1603.00,963.00,628.00,0.00,1237.00
2021,7,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",180.00,65.00,18.87,3.54,13.20,0.00,29.39,1.00,0.00,4356.00,774.00,293.00,506.00,0.00,2783.00
2021,6,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",108.00,36.00,11.70,2.94,10.07,0.00,11.28,0.00,0.00,2461.00,739.00,235.00,320.00,0.00,1167.00
2021,5,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",114.00,21.00,8.10,0.16,6.68,0.00,6.06,0.00,0.00,1222.00,464.00,7.00,168.00,0.00,583.00
2021,4,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",108.00,15.00,4.16,0.00,9.84,0.00,1.00,0.00,0.00,648.00,240.00,0.00,320.00,0.00,88.00
2021,3,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",115.00,11.00,4.99,0.00,2.28,0.00,3.73,2.00,0.00,369.00,112.00,0.00,73.00,0.00,184.00
2021,2,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",100.00,18.00,4.44,2.15,10.40,0.00,1.00,5.00,0.00,997.00,362.00,204.00,412.00,0.00,19.00
2021,1,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",96.00,10.00,2.46,0.25,4.38,0.00,2.91,2.00,0.00,695.00,158.00,8.00,178.00,0.00,351.00
2020,12,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",56.00,4.00,2.96,0.00,0.17,0.00,0.87,1.00,0.00,131.00,85.00,0.00,7.00,0.00,39.00
2020,11,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",63.00,8.00,3.23,0.00,1.23,0.00,3.54,0.00,0.00,473.00,195.00,0.00,82.00,0.00,196.00
2020,10,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",85.00,6.00,3.02,0.00,0.18,0.00,2.81,0.00,0.00,400.00,122.00,0.00,6.00,0.00,272.00
2020,9,UA,United Air Lines Network,ORF,"Norfolk, VA: Norfolk International",91.00,5.00,2.23,0.00,1.00,0.00,1.77,0.00,1.00,470.00,167.00,0.00,208.00,0.00,95.00
