year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,AA,American Airlines Network,RIC,"Richmond, VA: Richmond International",287.00,121.00,35.68,9.76,14.34,0.00,61.23,8.00,1.00,11128.00,3009.00,1855.00,814.00,0.00,5450.00
2025,5,AA,American Airlines Network,RIC,"Richmond, VA: Richmond International",354.00,87.00,23.87,5.45,16.82,0.00,40.87,2.00,0.00,4981.00,1036.00,565.00,510.00,0.00,2870.00
2025,4,AA,American Airlines Network,RIC,"Richmond, VA: Richmond International",300.00,86.00,34.17,2.82,16.30,0.00,32.71,3.00,0.00,4942.00,1774.00,286.00,789.00,0.00,2093.00
2025,3,AA,American Airlines Network,RIC,"Richmond, VA: Richmond International",276.00,68.00,26.95,1.06,13.02,0.35,26.62,5.00,0.00,3903.00,1649.00,69.00,544.00,26.00,1615.00
2025,2,AA,American Airlines Network,RIC,"Richmond, VA: Richmond International",251.00,51.00,19.47,1.07,6.51,0.00,23.94,4.00,1.00,2783.00,1072.00,29.00,267.00,0.00,1415.00
2025,1,AA,American Airlines Network,RIC,"Richmond, VA: Richmond International",283.00,49.00,25.87,1.00,5.18,0.10,16.85,12.00,0.00,2590.00,1244.00,19.00,234.00,2.00,1091.00
2024,12,AA,American Airlines Network,RIC,"Richmond, VA: Richmond International",292.00,74.00,29.75,2.06,6.68,1.00,34.51,3.00,0.00,4146.00,1826.00,92.00,228.00,15.00,1985.00
2024,11,AA,American Airlines Network,RIC,"Richmond, VA: Richmond International",302.00,47.00,22.19,0.74,7.36,0.00,16.71,1.00,0.00,2413.00,1202.00,18.00,203.00,0.00,990.00
2024,10,AA,American Airlines Network,RIC,"Richmond, VA: Richmond International",322.00,59.00,28.09,0.90,10.17,0.73,19.11,1.00,0.00,3340.00,1669.00,43.00,372.00,11.00,1245.00
2024,9,AA,American Airlines Network,RIC,"Richmond, VA: Richmond International",330.00,67.00,21.59,3.69,7.53,1.00,33.19,3.00,0.00,4710.00,1404.00,304.00,311.00,18.00,2673.00
2024,8,AA,American Airlines Network,RIC,"Richmond, VA: Richmond International",346.00,122.00,35.49,6.77,16.64,1.00,62.10,6.00,2.00,10424.00,2321.00,1249.00,858.00,19.00,5977.00
