year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",280.00,84.00,39.66,6.69,19.49,0.00,18.16,9.00,0.00,5837.00,2958.00,745.00,992.00,0.00,1142.00
2025,5,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",278.00,60.00,27.84,2.12,10.26,1.00,18.79,0.00,0.00,3705.00,2007.00,201.00,430.00,46.00,1021.00
2025,4,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",222.00,48.00,26.43,1.30,9.11,0.00,11.17,2.00,0.00,2889.00,1251.00,151.00,537.00,0.00,950.00
2025,3,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",224.00,46.00,23.01,0.00,4.77,0.00,18.22,0.00,0.00,2824.00,1535.00,0.00,194.00,0.00,1095.00
2025,2,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",180.00,39.00,21.48,1.00,3.25,0.00,13.27,0.00,0.00,2875.00,2070.00,18.00,152.00,0.00,635.00
2025,1,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",181.00,34.00,16.38,5.06,4.67,0.00,7.89,10.00,0.00,2481.00,775.00,876.00,398.00,0.00,432.00
2024,12,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",217.00,55.00,30.40,0.11,9.20,0.00,15.28,0.00,0.00,2074.00,1213.00,10.00,270.00,0.00,581.00
2024,11,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",205.00,26.00,12.80,0.00,1.37,0.00,11.82,0.00,0.00,1135.00,702.00,0.00,26.00,0.00,407.00
2024,10,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",229.00,24.00,17.58,0.00,4.03,0.00,2.39,0.00,0.00,680.00,527.00,0.00,80.00,0.00,73.00
2024,9,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",213.00,33.00,15.54,0.44,7.82,0.00,9.20,0.00,0.00,1753.00,1053.00,31.00,189.00,0.00,480.00
2024,8,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",223.00,50.00,26.21,0.00,7.27,0.00,16.52,0.00,0.00,2702.00,1655.00,0.00,237.00,0.00,810.00
2024,7,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",258.00,102.00,54.02,4.32,19.49,0.00,24.18,15.00,0.00,9695.00,5627.00,402.00,1523.00,0.00,2143.00
2024,6,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",242.00,38.00,21.36,0.97,7.25,0.00,8.42,0.00,0.00,1849.00,1135.00,27.00,263.00,0.00,424.00
2024,5,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",242.00,70.00,26.61,1.39,13.70,0.36,27.94,1.00,1.00,3788.00,1354.00,169.00,545.00,70.00,1650.00
2024,4,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",233.00,46.00,29.13,0.00,9.62,0.00,7.24,0.00,0.00,1882.00,1262.00,0.00,305.00,0.00,315.00
2024,3,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",230.00,47.00,25.34,1.65,8.64,0.00,11.38,0.00,0.00,2328.00,1464.00,50.00,272.00,0.00,542.00
2024,2,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",189.00,32.00,16.75,1.00,6.15,0.00,8.09,0.00,0.00,1022.00,493.00,59.00,140.00,0.00,330.00
2024,1,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",181.00,35.00,14.02,2.51,8.18,0.00,10.28,0.00,0.00,1954.00,1041.00,141.00,347.00,0.00,425.00
2023,12,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",199.00,29.00,15.21,0.00,6.79,0.00,7.00,0.00,0.00,2175.00,1610.00,0.00,218.00,0.00,347.00
2023,11,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",189.00,10.00,8.50,0.00,1.31,0.00,0.19,0.00,1.00,452.00,416.00,0.00,33.00,0.00,3.00
2023,10,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",231.00,33.00,22.88,0.76,2.93,1.00,5.42,0.00,0.00,1262.00,930.00,16.00,90.00,28.00,198.00
2023,9,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",199.00,25.00,17.93,0.00,2.70,0.00,4.37,0.00,0.00,1020.00,721.00,0.00,124.00,0.00,175.00
2023,8,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",207.00,59.00,34.44,5.19,7.57,0.00,11.79,5.00,0.00,3450.00,2125.00,379.00,310.00,0.00,636.00
2023,7,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",251.00,82.00,45.68,2.94,9.27,0.00,24.11,1.00,1.00,5587.00,3327.00,149.00,366.00,0.00,1745.00
2023,6,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",222.00,62.00,39.96,4.21,6.05,0.00,11.78,7.00,0.00,4045.00,2504.00,329.00,378.00,0.00,834.00
2023,5,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",230.00,38.00,22.15,0.00,6.02,0.66,9.17,1.00,0.00,1885.00,1259.00,0.00,146.00,33.00,447.00
2023,4,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",224.00,49.00,34.35,1.00,5.16,0.00,8.49,2.00,0.00,2694.00,2197.00,18.00,149.00,0.00,330.00
2023,3,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",236.00,46.00,23.65,1.38,5.81,0.00,15.15,2.00,0.00,3377.00,2100.00,72.00,223.00,0.00,982.00
2023,2,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",212.00,25.00,16.87,0.00,4.01,0.00,4.13,0.00,0.00,1243.00,967.00,0.00,104.00,0.00,172.00
2023,1,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",202.00,38.00,27.69,2.48,2.97,0.00,4.86,1.00,0.00,3235.00,2612.00,119.00,136.00,0.00,368.00
2022,12,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",190.00,23.00,17.96,1.52,1.35,0.00,2.17,3.00,0.00,1527.00,1307.00,101.00,54.00,0.00,65.00
2022,11,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",208.00,19.00,15.27,0.81,1.14,0.00,1.77,0.00,0.00,838.00,697.00,22.00,34.00,0.00,85.00
2022,10,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",196.00,14.00,10.43,0.00,0.63,0.00,2.94,0.00,0.00,926.00,840.00,0.00,19.00,0.00,67.00
2022,9,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",182.00,15.00,10.92,0.00,0.00,0.00,4.08,0.00,1.00,665.00,533.00,0.00,0.00,0.00,132.00
2022,8,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",186.00,28.00,17.21,2.82,2.80,0.00,5.17,0.00,0.00,1526.00,1030.00,170.00,104.00,0.00,222.00
2022,7,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",179.00,48.00,30.01,0.65,4.82,0.00,12.52,2.00,0.00,3072.00,1909.00,55.00,181.00,0.00,927.00
2022,6,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",182.00,35.00,22.99,1.72,4.87,1.00,4.42,10.00,1.00,2147.00,1615.00,58.00,186.00,51.00,237.00
2022,5,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",232.00,40.00,27.28,0.00,6.61,0.00,6.11,8.00,0.00,1487.00,1155.00,0.00,185.00,0.00,147.00
2022,4,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",226.00,32.00,21.20,1.00,6.44,0.00,3.36,2.00,0.00,1656.00,1058.00,24.00,446.00,0.00,128.00
2022,3,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",235.00,36.00,27.77,0.00,3.35,0.00,4.88,2.00,0.00,2117.00,1817.00,0.00,87.00,0.00,213.00
2022,2,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",176.00,9.00,6.29,0.00,1.89,0.00,0.82,0.00,0.00,306.00,193.00,0.00,76.00,0.00,37.00
2022,1,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",191.00,28.00,17.85,0.79,8.34,0.00,1.02,8.00,0.00,1228.00,916.00,22.00,270.00,0.00,20.00
2021,12,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",191.00,20.00,11.95,0.07,5.52,0.00,2.45,2.00,0.00,841.00,568.00,2.00,140.00,0.00,131.00
2021,11,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",220.00,20.00,15.29,0.00,2.33,1.00,1.39,0.00,0.00,770.00,610.00,0.00,78.00,40.00,42.00
2021,10,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",233.00,24.00,13.64,0.86,3.28,0.00,6.21,0.00,0.00,1597.00,1270.00,67.00,81.00,0.00,179.00
2021,9,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",211.00,23.00,18.45,0.00,3.27,0.00,1.28,0.00,0.00,765.00,677.00,0.00,64.00,0.00,24.00
2021,8,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",204.00,21.00,11.56,2.71,2.86,1.00,2.87,0.00,2.00,781.00,393.00,99.00,101.00,54.00,134.00
2021,7,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",205.00,32.00,20.15,1.84,5.90,0.00,4.12,0.00,1.00,1327.00,811.00,52.00,243.00,0.00,221.00
2021,6,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",200.00,31.00,18.50,1.00,6.83,0.00,4.67,0.00,0.00,1226.00,780.00,80.00,211.00,0.00,155.00
2021,5,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",172.00,16.00,9.45,0.51,4.08,0.00,1.96,0.00,0.00,611.00,355.00,18.00,130.00,0.00,108.00
2021,4,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",172.00,8.00,4.74,0.96,1.48,0.00,0.83,0.00,0.00,647.00,272.00,223.00,108.00,0.00,44.00
2021,3,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",186.00,11.00,7.82,0.00,2.18,0.00,1.00,0.00,3.00,452.00,319.00,0.00,116.00,0.00,17.00
2021,2,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",154.00,14.00,4.56,4.00,2.37,0.00,3.07,6.00,0.00,584.00,207.00,239.00,68.00,0.00,70.00
2021,1,DL,Delta Air Lines Network,RIC,"Richmond, VA: Richmond International",171.00,13.00,7.34,0.00,3.80,0.00,1.86,0.00,1.00,404.00,230.00,0.00,80.00,0.00,94.00
