year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",198.00,68.00,18.26,3.20,17.84,0.19,28.50,2.00,1.00,4795.00,1230.00,180.00,859.00,11.00,2515.00
2025,5,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",178.00,51.00,17.59,1.55,4.64,0.00,27.22,1.00,0.00,3049.00,590.00,96.00,234.00,0.00,2129.00
2025,4,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",172.00,53.00,19.72,0.00,4.40,0.73,28.15,0.00,0.00,2887.00,946.00,0.00,227.00,29.00,1685.00
2025,3,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",184.00,38.00,11.18,0.76,2.30,0.00,23.76,2.00,3.00,2314.00,596.00,64.00,108.00,0.00,1546.00
2025,2,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",157.00,24.00,7.93,0.00,4.28,0.00,11.79,1.00,0.00,1075.00,386.00,0.00,162.00,0.00,527.00
2025,1,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",164.00,27.00,12.44,0.00,6.85,0.00,7.72,3.00,0.00,1398.00,762.00,0.00,208.00,0.00,428.00
2024,12,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",170.00,39.00,19.08,0.00,3.58,0.00,16.34,0.00,0.00,1886.00,910.00,0.00,129.00,0.00,847.00
2024,11,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",165.00,22.00,9.33,0.13,4.38,0.00,8.16,0.00,0.00,1015.00,363.00,10.00,123.00,0.00,519.00
2024,10,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",175.00,31.00,16.07,0.00,3.64,0.00,11.29,0.00,0.00,1206.00,717.00,0.00,107.00,0.00,382.00
2024,9,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",176.00,25.00,10.25,0.70,2.61,0.00,11.44,0.00,0.00,947.00,458.00,42.00,69.00,0.00,378.00
2024,8,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",183.00,51.00,20.15,0.00,11.38,0.00,19.48,0.00,0.00,3099.00,843.00,0.00,482.00,0.00,1774.00
2024,7,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",194.00,76.00,28.57,0.00,9.20,0.00,38.23,0.00,0.00,3905.00,1571.00,0.00,380.00,0.00,1954.00
2024,6,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",184.00,54.00,25.17,0.88,5.31,0.55,22.10,0.00,1.00,2875.00,1192.00,14.00,187.00,38.00,1444.00
2024,5,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",161.00,51.00,11.44,0.25,8.77,0.00,30.54,0.00,1.00,3392.00,429.00,28.00,343.00,0.00,2592.00
2024,4,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",150.00,30.00,11.24,0.00,5.27,0.00,13.49,0.00,1.00,1384.00,433.00,0.00,149.00,0.00,802.00
2024,3,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",140.00,25.00,7.88,0.00,1.59,0.24,15.29,0.00,0.00,1124.00,384.00,0.00,73.00,24.00,643.00
2024,2,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",128.00,18.00,6.21,0.00,3.04,0.00,8.75,0.00,0.00,556.00,128.00,0.00,130.00,0.00,298.00
2024,1,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",140.00,35.00,14.17,0.00,3.02,0.00,17.81,0.00,0.00,1384.00,578.00,0.00,107.00,0.00,699.00
2023,12,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",154.00,43.00,18.20,0.00,12.30,0.00,12.50,2.00,1.00,1294.00,576.00,0.00,337.00,0.00,381.00
2023,11,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",150.00,32.00,8.94,0.00,7.73,0.00,15.33,0.00,0.00,1021.00,350.00,0.00,199.00,0.00,472.00
2023,10,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",177.00,36.00,13.34,0.00,3.25,0.00,19.41,0.00,0.00,1174.00,353.00,0.00,98.00,0.00,723.00
2023,9,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",163.00,30.00,15.50,0.00,3.11,0.00,11.39,0.00,0.00,1094.00,518.00,0.00,63.00,0.00,513.00
2023,8,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",145.00,32.00,13.19,1.78,4.72,0.00,12.32,0.00,0.00,1553.00,434.00,97.00,368.00,0.00,654.00
2023,7,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",140.00,44.00,16.42,0.22,7.44,0.00,19.92,0.00,0.00,2045.00,645.00,13.00,244.00,0.00,1143.00
2023,6,WN,Southwest Airlines,RIC,"Richmond, VA: Richmond International",138.00,42.00,13.64,0.18,5.90,0.00,22.27,0.00,1.00,2406.00,667.00,20.00,251.00,0.00,1468.00
