year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",60.00,31.00,10.18,1.21,8.95,0.00,10.66,0.00,0.00,2126.00,463.00,85.00,418.00,0.00,1160.00
2025,5,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",62.00,26.00,6.64,0.00,9.89,0.00,9.47,0.00,0.00,1339.00,288.00,0.00,337.00,0.00,714.00
2025,4,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",60.00,17.00,4.64,0.00,4.16,0.00,8.20,0.00,0.00,1060.00,218.00,0.00,122.00,0.00,720.00
2025,3,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",62.00,14.00,3.99,0.00,0.84,0.00,9.17,0.00,0.00,852.00,246.00,0.00,25.00,0.00,581.00
2025,2,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",56.00,11.00,6.78,0.00,3.40,0.00,0.81,0.00,0.00,553.00,392.00,0.00,92.00,0.00,69.00
2025,1,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",68.00,14.00,6.24,1.97,0.61,0.00,5.18,3.00,0.00,922.00,467.00,87.00,61.00,0.00,307.00
2024,12,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",77.00,14.00,9.80,0.00,1.55,0.00,2.65,1.00,0.00,1211.00,940.00,0.00,43.00,0.00,228.00
2024,11,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",60.00,14.00,5.96,0.00,7.15,0.00,0.89,0.00,0.00,583.00,240.00,0.00,184.00,0.00,159.00
2024,10,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",62.00,12.00,4.77,0.00,5.07,0.00,2.16,0.00,0.00,652.00,349.00,0.00,178.00,0.00,125.00
2024,9,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",60.00,9.00,1.31,0.00,2.96,0.00,4.73,0.00,0.00,381.00,38.00,0.00,77.00,0.00,266.00
2024,8,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",62.00,31.00,10.16,1.00,10.28,0.00,9.56,0.00,1.00,1892.00,563.00,43.00,516.00,0.00,770.00
2024,7,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",62.00,24.00,7.11,0.00,9.32,0.00,7.56,2.00,0.00,1504.00,406.00,0.00,373.00,0.00,725.00
2024,6,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",78.00,25.00,8.18,2.72,6.52,0.00,7.58,1.00,0.00,2444.00,808.00,114.00,283.00,0.00,1239.00
2024,5,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",91.00,43.00,12.87,1.68,12.26,0.00,16.19,1.00,1.00,3590.00,694.00,427.00,573.00,0.00,1896.00
2024,4,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",90.00,18.00,7.40,0.00,5.17,0.00,5.43,0.00,0.00,911.00,405.00,0.00,162.00,0.00,344.00
2024,3,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",93.00,18.00,7.29,0.00,5.04,0.00,5.66,2.00,0.00,1046.00,393.00,0.00,206.00,0.00,447.00
2024,2,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",87.00,26.00,8.10,0.35,11.87,0.00,5.68,0.00,0.00,1548.00,507.00,72.00,558.00,0.00,411.00
2024,1,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",93.00,26.00,7.62,1.01,2.03,0.00,15.34,2.00,0.00,2231.00,541.00,165.00,118.00,0.00,1407.00
2023,12,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",93.00,28.00,5.32,0.62,12.11,0.00,9.96,0.00,0.00,1369.00,379.00,16.00,313.00,0.00,661.00
2023,11,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",91.00,28.00,6.99,0.00,10.90,0.00,10.11,0.00,0.00,1397.00,414.00,0.00,285.00,0.00,698.00
2023,10,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",120.00,25.00,5.49,0.00,8.54,0.13,10.84,0.00,0.00,960.00,210.00,0.00,261.00,5.00,484.00
2023,9,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",121.00,31.00,8.56,0.60,12.26,0.00,9.57,0.00,0.00,1325.00,306.00,44.00,327.00,0.00,648.00
2023,8,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",124.00,36.00,11.79,0.81,14.79,0.00,8.61,1.00,0.00,1979.00,981.00,44.00,415.00,0.00,539.00
2023,7,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",124.00,56.00,18.68,2.35,8.31,0.00,26.66,3.00,0.00,3824.00,931.00,204.00,437.00,0.00,2252.00
2023,6,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",120.00,54.00,28.68,1.00,11.84,0.00,12.48,5.00,0.00,4453.00,2113.00,79.00,435.00,0.00,1826.00
2023,5,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",124.00,39.00,13.49,4.03,10.33,0.00,11.16,0.00,0.00,3352.00,988.00,574.00,512.00,0.00,1278.00
2023,4,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",120.00,48.00,14.88,0.00,9.13,0.00,23.99,1.00,1.00,3341.00,1252.00,0.00,247.00,0.00,1842.00
2023,3,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",124.00,26.00,8.66,0.00,5.37,0.00,11.97,0.00,0.00,1604.00,625.00,0.00,136.00,0.00,843.00
2023,2,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",111.00,32.00,13.62,0.00,5.44,0.00,12.94,0.00,0.00,1919.00,822.00,0.00,207.00,0.00,890.00
2023,1,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",120.00,39.00,18.94,0.21,13.40,0.00,6.45,0.00,1.00,2432.00,1207.00,22.00,590.00,0.00,613.00
2022,12,UA,United Air Lines Network,RIC,"Richmond, VA: Richmond International",123.00,40.00,15.83,0.05,7.16,0.00,16.96,2.00,0.00,2659.00,993.00,3.00,353.00,0.00,1310.00
